Component Name,Type,Props,Description,Usage,Status
Header,Layout,"title, showBack, actions",Səhifə başlığı və naviqasiya,"All screens",Active
TabBar,Navigation,"tabs, activeTab, onTabChange",Alt naviqasiya çubuğu,"Main navigation",Active
Card,Container,"children, className",Məzmun konteyner,"Content grouping",Active
Button,Interactive,"children, onClick, variant, size, disabled",Əsas düymə komponenti,"Actions, forms",Active
IconButton,Interactive,"icon, onClick, label",İkon düymə,"Header actions",Active
Progress,Display,"value, max",İrəliləyiş göstəricisi,"Learning progress",Active
VideoPlayer,Media,"src, watermark",Video oynadıcı,"Lesson content",Active
Sheet,Overlay,"visible, onClose, children",Alt modal,"More menu",Active
Timer,Display,"timeLeft, onTimeUp",Vaxt sayğacı,"Exam screen",Active
SearchInput,Form,"value, onChange, placeholder",Axtarış sahəsi,"Topics filter",Active
RadioButton,Form,"checked, onChange, label",Radio seçim,"Exam questions",Active
ScoreDisplay,Display,"score, total, passed",Bal göstəricisi,"Results screen",Active
